id,gender ,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,result,,,,,,,,,,,,,,
72,F,0,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
73,M,0,1,1,0,0,0,0,1,1,0,0,0,1,,,,,,,,,,,,,,
74,F,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
75,M,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
76,F,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
77,M,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
78,F,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
79,M,0,1,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
80,F,0,0,0,0,0,0,0,1,1,0,0,0,1,,,,,,,,,,,,,,
81,F,0,1,1,0,0,0,1,1,0,0,0,1,1,,,,,,,,,,,,,,
82,F,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
83,M,0,0,0,0,0,0,0,1,1,0,0,0,1,,,,,,,,,,,,,,
84,M,0,1,0,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
85,F,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
86,F,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
87,F,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
88,F,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
89,F,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
90,F,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
91,M,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
92,M,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
93,F,0,0,0,0,0,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,
94,M,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
95,F,0,0,0,0,0,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,
96,M,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
97,M,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
98,M,1,1,0,1,1,0,0,0,0,0,0,1,2,,,,,,,,,,,,,,
99,F,0,0,0,0,0,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,
100,M,0,1,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
101,F,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
102,M,0,0,0,0,0,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,
103,F,0,1,1,0,0,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,
104,F,0,0,0,0,0,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,
105,F,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
106,M,0,1,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
107,M,0,1,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
108,F,0,0,0,0,1,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,
109,F,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
110,F,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
111,M,0,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
112,M,0,1,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
113,M,0,1,0,0,0,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,
114,M,1,1,0,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,
115,F,0,1,0,0,1,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,
116,M,0,1,0,0,0,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,
117,F,0,0,1,0,0,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,
118,F,0,0,0,0,0,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,
119,F,1,1,1,1,1,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,
120,F,0,1,0,0,0,0,0,1,1,0,0,0,1,,,,,,,,,,,,,,
121,M,0,1,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
122,M,0,1,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
123,M,0,0,0,0,0,0,0,1,1,0,0,0,1,,,,,,,,,,,,,,
124,M,0,1,0,1,1,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,
125,F,0,0,0,0,0,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,
126,F,0,1,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,
127,F,0,1,0,0,0,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,
128,M,0,1,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
129,M,0,1,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
130,F,1,1,1,0,1,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,
131,F,0,1,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
132,M,0,1,0,0,0,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,
133,F,1,1,1,0,0,0,1,0,0,0,0,0,1,,,,,,,,,,,,,,
134,F,0,1,1,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,
135,F,0,1,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
136,M,0,1,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
137,F,1,1,1,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
138,M,0,1,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
139,M,1,1,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
140,M,0,1,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
141,F,0,1,0,0,0,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,
142,F,1,1,1,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
143,M,0,1,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
144,M,0,1,0,0,0,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,
145,F,0,1,0,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,
146,M,0,0,1,0,0,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,
147,M,0,1,0,0,0,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,
148,M,0,1,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
149,M,0,1,0,0,0,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,
150,F,0,1,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
