id,gender ,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,result,,,,,,,,,,,,,,
312,M,1,0,0,0,0,0,0,1,0,0,0,0,2,,,,,,,,,,,,,,
313,F,0,1,0,0,0,0,0,1,0,0,0,1,1,,,,,,,,,,,,,,
314,M,0,1,1,1,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,
315,M,0,1,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
316,F,0,1,1,0,0,0,1,1,0,0,0,0,1,,,,,,,,,,,,,,
317,F,0,1,1,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
318,F,0,0,0,1,1,0,0,0,0,0,0,1,2,,,,,,,,,,,,,,
319,M,0,1,1,0,0,0,0,0,0,0,0,1,2,,,,,,,,,,,,,,
320,F,0,1,1,1,1,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,
321,F,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
322,M,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
323,F,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
324,F,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
325,F,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
326,F,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
327,F,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
328,M,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
329,M,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
330,M,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
331,M,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
332,M,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
333,M,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
334,F,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
335,F,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,
336,F,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,
337,F,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,
338,F,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
339,F,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
340,F,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
341,F,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
342,M,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
343,M,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
344,M,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
345,M,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
346,F,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
347,F,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
348,F,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
349,F,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
350,M,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
351,M,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
352,M,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
353,M,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
354,F,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
355,M,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
356,M,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
357,M,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
358,F,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
359,F,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
360,F,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
361,M,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,
362,M,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,
363,M,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,
364,M,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,
365,F,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,
366,F,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,
367,F,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,
368,F,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,
369,F,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,
370,F,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,
371,M,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,
372,M,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,
373,M,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,
374,F,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,
375,F,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,
376,M,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,
377,F,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
378,F,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,
379,M,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,
380,F,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,
381,M,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
382,M,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
383,F,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
384,F,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
385,F,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
386,F,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
387,F,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
388,F,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
389,F,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
390,F,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
391,F,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
392,F,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
393,F,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
394,M,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
395,M,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
396,M,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
397,M,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
398,M,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
399,M,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
400,M,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
401,M,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
402,M,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
403,M,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
404,F,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
405,F,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
406,F,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
407,F,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
408,F,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
409,F,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
410,F,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
411,F,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
412,F,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
413,F,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
414,F,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
415,F,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
416,F,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
417,F,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
418,F,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
419,F,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,
420,M,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,
421,M,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,
422,M,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,
423,M,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,
424,M,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,
425,M,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,
426,M,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,
427,M,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,
428,M,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,
429,M,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,
430,M,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,
431,M,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,
432,M,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,
433,M,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,
434,M,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
435,M,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
436,M,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
437,M,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
438,F,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
439,F,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
440,F,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
441,F,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
442,F,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
443,F,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
444,F,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
445,F,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
446,F,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
447,F,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
448,F,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
449,F,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
450,M,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
451,M,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
452,M,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
453,M,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
454,M,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
455,M,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
456,M,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
457,M,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
458,M,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
459,M,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
460,F,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
461,F,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
462,F,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
463,F,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
464,F,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
465,F,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
466,F,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
467,F,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
468,F,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
469,M,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
470,M,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
471,M,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
472,M,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
473,M,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
474,M,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
475,M,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
476,M,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
477,F,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
478,F,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
479,F,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
480,F,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
481,F,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
482,F,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
483,F,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
484,F,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
485,F,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
486,M,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
487,M,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
488,M,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,
489,M,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,
490,M,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,
491,M,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,
492,M,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,
493,M,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,
494,M,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,
495,M,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,
496,M,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,
497,M,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,
498,M,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,
499,M,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,
500,M,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,
